TargetName	disease2B_scan | 006 | neg	normal4_scan | 017 | Geometric Segment	normal2B_scan | 008 | neg	normal3_scan | 002 | PanCK	disease3_scan | 009 | Geometric Segment	disease4_scan | 001 | PanCK	normal2B_scan | 020 | Geometric Segment	disease4_scan | 004 | PanCK	disease4_scan | 010 | Geometric Segment	disease3_scan | 003 | neg	disease1B_scan | 008 | neg	disease3_scan | 031 | Geometric Segment	normal3_scan | 021 | Geometric Segment	normal3_scan | 007 | Geometric Segment	normal4_scan | 004 | PanCK	disease3_scan | 030 | Geometric Segment	normal2B_scan | 013 | Geometric Segment	normal3_scan | 029 | Geometric Segment	normal3_scan | 025 | Geometric Segment	disease3_scan | 023 | Geometric Segment	disease3_scan | 007 | Geometric Segment	normal3_scan | 036 | Geometric Segment	normal3_scan | 020 | Geometric Segment	disease3_scan | 036 | Geometric Segment	disease2B_scan | 007 | neg	normal2B_scan | 012 | PanCK	normal3_scan | 011 | Geometric Segment	disease2B_scan | 010 | PanCK	disease3_scan | 025 | Geometric Segment	normal2B_scan | 021 | Geometric Segment	normal3_scan | 053 | Geometric Segment	disease3_scan | 012 | Geometric Segment	normal3_scan | 010 | Geometric Segment	normal3_scan | 044 | Geometric Segment	disease3_scan | 001 | neg	normal2B_scan | 011 | PanCK	disease2B_scan | 022 | Geometric Segment	disease3_scan | 001 | PanCK	normal3_scan | 024 | Geometric Segment	normal3_scan | 001 | PanCK	disease3_scan | 053 | Geometric Segment	disease3_scan | 027 | Geometric Segment	disease3_scan | 008 | Geometric Segment	normal3_scan | 018 | Geometric Segment	normal3_scan | 006 | neg	disease1B_scan | 015 | Geometric Segment	disease4_scan | 002 | PanCK	disease3_scan | 041 | Geometric Segment	disease1B_scan | 016 | Geometric Segment	disease4_scan | 008 | Geometric Segment	normal3_scan | 049 | Geometric Segment	disease3_scan | 004 | neg	normal3_scan | 014 | Geometric Segment	normal4_scan | 005 | PanCK	normal4_scan | 011 | Geometric Segment	disease2B_scan | 006 | PanCK	disease3_scan | 037 | Geometric Segment	disease3_scan | 051 | Geometric Segment	disease2B_scan | 020 | Geometric Segment	disease4_scan | 018 | Geometric Segment	disease4_scan | 003 | neg	normal3_scan | 034 | Geometric Segment	disease3_scan | 049 | Geometric Segment	disease1B_scan | 019 | Geometric Segment	normal3_scan | 040 | Geometric Segment	normal2B_scan | 019 | Geometric Segment	normal3_scan | 052 | Geometric Segment	disease1B_scan | 010 | PanCK	normal2B_scan | 017 | Geometric Segment	disease4_scan | 004 | neg
RPSA	97	32	205	143	150	241	73	111	104	492	48	117	144	109	145	189	84	50	105	136	245	78	91	104	71	127	105	74	125	42	96	121	89	57	457	76	50	309	75	228	165	142	128	104	279	13	175	74	19	158	117	583	99	147	64	38	135	173	54	64	572	48	135	8	54	83	55	119	106	289
SLC24A1	8	3	17	11	9	7	4	10	12	46	14	10	15	7	14	20	8	3	8	11	23	15	13	9	7	10	3	3	17	3	7	8	6	4	62	8	6	36	3	15	15	19	9	7	28	3	10	5	1	22	19	75	12	15	6	6	17	16	2	6	46	6	17	1	6	6	6	12	5	37
ZBTB32	8	1	11	2	5	6	7	4	10	29	3	8	10	18	9	7	4	3	6	7	16	5	8	5	2	6	5	5	7	3	5	9	8	3	49	4	6	16	5	6	11	13	13	9	9	2	9	2	3	17	8	45	4	7	5	3	8	4	4	2	33	5	4	1	2	7	6	9	5	28
CEACAM8	7	2	16	4	7	9	5	6	13	24	12	4	5	9	13	9	5	2	8	4	24	8	5	5	10	12	3	3	9	4	4	8	13	5	49	3	7	20	6	8	9	8	6	5	13	1	5	4	2	15	7	56	7	4	7	2	7	15	5	5	36	2	6	1	7	7	6	9	10	36
ZNF225	5	7	15	8	7	15	7	8	12	34	9	9	16	9	3	12	10	4	12	10	27	9	13	14	8	5	12	6	8	3	9	15	10	9	52	4	3	32	13	13	10	15	12	6	16	1	7	5	2	18	13	51	4	13	5	4	12	7	7	6	43	11	7	1	3	6	10	11	9	34
HIPK2	23	45	96	32	38	52	66	21	22	64	25	35	80	79	56	50	98	24	42	29	47	38	59	24	19	59	79	12	20	38	42	18	59	32	72	36	9	65	53	56	38	42	39	48	91	9	49	20	10	40	70	91	80	57	82	7	40	50	22	30	117	30	31	1	28	112	31	19	119	77
ZNF674	4	6	8	9	4	8	3	10	13	17	10	5	8	13	17	6	9	5	13	10	11	6	6	8	5	1	8	3	8	6	7	8	3	12	36	9	4	27	3	8	7	8	8	9	16	4	12	5	1	15	8	40	11	9	6	1	7	8	4	5	19	5	6	1	2	7	6	10	4	25
HSFX1	3	1	12	7	15	8	4	5	6	31	9	8	9	11	9	11	3	6	12	8	17	7	12	6	10	7	5	2	9	1	6	9	6	14	53	3	2	23	6	6	8	18	13	11	20	1	12	2	1	20	14	49	7	11	10	1	17	11	7	5	33	7	10	1	3	4	10	18	11	25
SNAI3	5	5	16	5	13	5	7	14	14	30	16	13	12	14	5	18	6	5	4	9	26	4	13	5	8	4	9	4	11	1	9	10	5	10	67	5	4	30	6	6	12	15	14	8	13	1	9	6	2	17	13	53	9	8	6	1	17	19	5	6	33	8	10	1	6	8	4	13	7	40
KDM7A	11	5	12	10	8	14	10	13	12	29	13	11	8	16	44	12	12	6	13	4	13	8	11	4	9	19	8	12	3	7	7	6	6	6	32	11	5	35	7	22	8	10	14	6	21	2	14	2	4	23	14	44	5	16	11	6	7	7	11	7	55	7	11	2	6	9	7	22	16	32
GIPC1	16	9	41	23	17	27	13	20	22	57	19	14	26	20	29	23	13	8	23	13	30	10	25	9	17	35	16	10	13	8	12	25	13	14	76	19	5	62	10	61	15	15	20	21	43	2	27	6	3	28	16	88	22	41	14	8	18	20	9	7	82	12	14	1	17	26	12	23	19	67
SLC5A9	7	2	15	4	11	6	3	6	8	32	10	4	9	11	9	11	2	10	5	2	13	6	7	10	9	5	5	1	8	3	5	5	4	10	65	5	2	35	8	9	7	14	17	4	19	1	7	5	2	18	13	61	11	15	4	2	15	3	4	4	39	12	13	2	3	10	3	14	8	30
CEP72	3	1	11	5	11	7	6	3	5	35	10	7	11	13	17	19	7	4	5	11	20	9	13	9	8	5	8	5	6	2	9	9	12	6	40	6	3	25	8	17	10	15	11	17	11	3	12	3	1	22	12	51	13	6	7	3	10	9	4	4	47	10	10	2	6	9	7	11	11	43
RBM42	17	9	55	23	31	21	27	19	21	67	18	24	29	24	21	29	19	10	29	21	37	17	23	24	16	25	20	11	30	13	18	21	22	23	84	18	7	59	14	44	20	29	28	33	60	3	23	7	2	32	26	100	21	25	13	4	21	20	11	4	82	15	15	2	8	22	13	37	23	55
HSD17B1	5	4	17	4	8	7	7	7	14	38	10	5	11	9	5	11	4	4	6	9	19	6	15	5	6	3	7	1	10	4	4	11	10	6	60	3	5	25	13	8	5	13	7	13	15	1	8	6	1	21	8	41	5	3	5	1	15	10	4	4	46	10	15	1	8	8	7	10	9	34
EN1	7	2	11	5	10	7	3	9	9	23	7	4	9	7	6	10	5	5	5	10	16	7	4	6	3	4	3	5	4	2	7	7	8	6	35	2	2	24	7	6	9	7	9	4	11	1	5	5	2	19	8	33	8	5	6	1	10	6	4	3	38	4	5	1	3	3	5	8	7	34
STH	4	6	14	2	11	8	5	8	11	33	5	6	10	12	14	17	3	5	7	10	13	9	7	12	5	9	6	2	10	2	3	8	9	7	55	5	2	37	11	6	13	10	9	10	9	1	6	3	2	14	10	45	1	7	4	1	16	11	4	7	46	2	10	1	2	5	8	13	7	48
VWF	16	3	22	3	12	13	7	9	14	62	19	5	10	17	14	19	7	2	8	14	40	12	14	6	10	8	9	5	14	4	7	16	4	10	87	4	7	28	3	12	8	14	12	12	20	2	7	2	1	24	13	160	8	19	8	6	7	16	4	4	44	10	9	2	6	14	8	10	10	51
