TargetName	disease2B_scan | 006 | neg	normal4_scan | 017 | Geometric Segment	normal2B_scan | 008 | neg	normal3_scan | 002 | PanCK	disease3_scan | 009 | Geometric Segment	disease4_scan | 001 | PanCK	normal2B_scan | 020 | Geometric Segment	disease4_scan | 004 | PanCK	disease4_scan | 010 | Geometric Segment	disease3_scan | 003 | neg	disease1B_scan | 008 | neg	disease3_scan | 031 | Geometric Segment	normal3_scan | 021 | Geometric Segment	normal3_scan | 007 | Geometric Segment	normal4_scan | 004 | PanCK	disease3_scan | 030 | Geometric Segment	normal2B_scan | 013 | Geometric Segment	normal3_scan | 029 | Geometric Segment	normal3_scan | 025 | Geometric Segment	disease3_scan | 023 | Geometric Segment	disease3_scan | 007 | Geometric Segment	normal3_scan | 036 | Geometric Segment	normal3_scan | 020 | Geometric Segment	disease3_scan | 036 | Geometric Segment	disease2B_scan | 007 | neg	normal2B_scan | 012 | PanCK	normal3_scan | 011 | Geometric Segment	disease2B_scan | 010 | PanCK	disease3_scan | 025 | Geometric Segment	normal2B_scan | 021 | Geometric Segment	normal3_scan | 053 | Geometric Segment	disease3_scan | 012 | Geometric Segment	normal3_scan | 010 | Geometric Segment	normal3_scan | 044 | Geometric Segment	disease3_scan | 001 | neg	normal2B_scan | 011 | PanCK	disease2B_scan | 022 | Geometric Segment	disease3_scan | 001 | PanCK	normal3_scan | 024 | Geometric Segment	normal3_scan | 001 | PanCK	disease3_scan | 053 | Geometric Segment	disease3_scan | 027 | Geometric Segment	disease3_scan | 008 | Geometric Segment	normal3_scan | 018 | Geometric Segment	normal3_scan | 006 | neg	disease1B_scan | 015 | Geometric Segment	disease4_scan | 002 | PanCK	disease3_scan | 041 | Geometric Segment	disease1B_scan | 016 | Geometric Segment	disease4_scan | 008 | Geometric Segment	normal3_scan | 049 | Geometric Segment	disease3_scan | 004 | neg	normal3_scan | 014 | Geometric Segment	normal4_scan | 005 | PanCK	normal4_scan | 011 | Geometric Segment	disease2B_scan | 006 | PanCK	disease3_scan | 037 | Geometric Segment	disease3_scan | 051 | Geometric Segment	disease2B_scan | 020 | Geometric Segment	disease4_scan | 018 | Geometric Segment	disease4_scan | 003 | neg	normal3_scan | 034 | Geometric Segment	disease3_scan | 049 | Geometric Segment	disease1B_scan | 019 | Geometric Segment	normal3_scan | 040 | Geometric Segment	normal2B_scan | 019 | Geometric Segment	normal3_scan | 052 | Geometric Segment	disease1B_scan | 010 | PanCK	normal2B_scan | 017 | Geometric Segment	disease4_scan | 004 | neg
OPN4	9	2	9	7	10	8	3	10	10	23	8	4	11	6	16	13	7	6	11	9	13	10	12	14	5	10	5	1	12	3	4	9	4	5	48	5	3	31	7	10	10	15	18	13	18	1	7	7	2	19	10	45	3	14	1	1	14	9	1	9	40	7	10	1	3	4	10	11	11	36
OR2AG1	13	1	19	8	10	12	8	4	8	44	11	9	14	9	13	9	6	5	8	11	23	8	11	9	7	9	11	1	15	5	9	7	6	7	59	12	2	21	3	7	16	15	12	6	20	1	13	2	1	18	2	58	8	13	6	3	10	12	9	6	39	6	8	1	6	5	5	15	6	42
SNRNP40	7	4	24	7	16	7	6	13	8	29	15	17	20	11	10	12	16	6	18	10	23	15	17	7	5	13	16	8	12	4	8	9	8	8	50	10	2	38	10	21	11	21	12	12	23	1	5	3	1	15	12	45	9	20	11	1	10	13	3	9	39	10	8	1	9	15	8	17	12	36
RBMS3	7	7	16	9	29	8	16	11	16	38	15	19	29	24	11	23	11	13	29	27	33	18	21	13	9	6	18	3	21	6	8	20	23	13	55	12	10	21	16	9	22	23	18	24	14	2	5	10	1	28	22	68	31	12	20	1	22	31	13	11	67	7	22	1	12	24	9	5	23	48
LRR1	9	6	24	5	8	11	9	11	6	37	14	4	13	9	10	12	10	8	12	12	27	8	10	6	5	8	8	3	11	8	5	10	10	9	50	7	5	34	9	9	7	12	14	11	22	1	5	1	1	20	9	60	8	14	8	1	8	6	6	4	56	12	11	2	7	8	6	5	10	35
CAMKMT	4	6	9	4	8	9	5	8	6	26	10	11	11	5	9	9	6	6	7	13	13	10	5	3	10	11	5	5	10	6	5	9	4	10	40	6	1	28	7	12	8	15	10	8	15	1	6	2	1	19	8	35	4	13	4	1	8	6	5	3	44	5	9	1	2	13	1	9	7	24
WDR48	4	7	18	10	19	10	10	10	15	43	17	12	24	23	26	24	10	7	18	16	23	15	20	13	15	8	22	6	12	9	9	11	16	14	59	16	9	34	16	24	15	21	12	10	32	6	10	8	4	32	16	67	15	26	12	2	15	14	7	3	57	16	11	1	4	27	11	10	13	50
ANGPTL1	8	2	23	10	9	8	5	13	11	22	14	9	9	7	15	16	7	6	7	5	18	6	12	6	7	6	6	8	4	2	3	5	6	2	41	3	5	24	8	12	4	7	5	8	20	1	11	2	3	20	10	35	7	13	5	1	6	5	5	3	42	4	4	2	8	12	5	13	8	25
NRSN1	5	4	20	11	6	12	3	11	10	41	17	11	13	16	6	18	8	11	8	16	22	9	8	11	7	4	5	4	9	5	7	14	10	10	59	5	4	29	12	16	11	10	19	5	17	1	6	7	4	15	15	55	6	18	6	3	7	8	5	2	62	12	9	1	11	4	2	12	6	33
STPG2	6	1	19	14	13	6	6	10	11	35	13	10	14	13	9	11	5	4	9	4	17	10	7	6	8	9	6	8	10	1	5	5	5	5	43	9	2	39	3	14	7	11	6	8	24	1	6	3	1	11	10	33	6	13	8	1	8	8	4	6	37	7	6	1	2	7	4	6	8	31
SIL1	17	10	36	23	17	22	13	10	24	57	14	25	34	27	21	42	20	14	21	14	43	19	37	25	19	24	26	12	18	9	16	9	19	20	61	16	12	45	22	27	26	22	29	28	38	3	23	14	1	37	27	70	21	25	9	6	32	31	14	11	78	14	23	1	15	20	24	27	37	50
CDK4	14	4	36	17	22	33	19	18	17	83	21	19	28	25	24	39	19	8	23	16	36	15	22	19	33	22	22	9	21	12	16	19	15	12	84	19	3	51	25	26	24	13	22	17	49	5	24	9	3	21	31	95	23	25	10	9	17	32	12	8	85	5	23	3	15	20	15	30	18	50
ATXN7L2	10	1	16	7	13	11	6	11	5	39	16	11	7	14	17	20	4	8	7	9	19	15	8	5	11	8	7	5	11	4	10	5	9	14	49	3	1	31	9	11	8	12	15	17	19	2	9	4	1	14	10	57	6	13	6	2	9	12	3	7	41	4	10	1	9	13	4	12	7	52
CYP17A1	8	7	25	3	16	13	12	7	11	45	22	6	12	12	18	16	8	4	11	13	22	7	9	10	11	3	13	5	19	5	13	12	10	8	83	10	7	27	11	10	10	18	21	9	81	1	12	4	4	23	12	77	11	13	10	1	13	17	5	9	66	7	7	2	3	10	2	11	20	39
ZNF8	5	6	10	10	7	8	6	5	9	22	10	6	12	13	11	9	6	3	12	8	16	9	5	5	2	12	3	4	11	3	6	12	4	9	39	5	8	23	11	9	11	11	8	7	17	1	8	7	3	20	6	45	7	10	13	3	8	12	2	3	32	5	9	1	6	8	2	12	7	38
CDKL4	4	1	22	12	10	7	6	16	9	40	6	10	21	14	17	13	6	7	9	16	20	8	9	4	6	5	6	5	10	1	2	12	4	7	56	9	2	29	5	17	11	7	11	8	9	1	6	6	1	14	10	59	3	11	7	2	12	10	4	2	44	4	11	1	7	8	5	5	9	39
GOLGA5	31	11	34	11	21	11	16	10	13	40	21	19	22	26	20	20	12	13	19	19	24	19	16	6	19	16	12	12	21	8	8	15	16	15	59	12	10	53	18	13	21	21	14	17	33	3	12	4	1	25	21	78	11	21	13	5	16	20	10	10	78	7	20	3	9	23	7	16	13	52
ADGRF5	4	58	34	87	109	98	63	9	23	65	21	80	125	125	24	110	88	40	66	75	138	68	86	51	11	17	101	12	72	13	71	54	64	52	68	13	29	101	46	32	72	104	76	68	30	19	49	36	13	106	91	115	83	59	90	1	56	91	38	32	101	47	83	8	43	106	43	12	121	92
NSA2	21	14	60	35	38	32	18	19	25	107	23	24	34	31	59	43	26	14	30	28	47	26	36	16	10	50	39	8	26	12	19	30	25	20	107	46	10	71	16	46	29	33	26	24	75	3	25	22	5	38	36	126	33	48	13	9	28	42	12	18	118	20	33	1	13	20	9	28	23	82
GSKIP	11	4	14	9	9	8	7	7	12	27	11	9	10	9	11	13	17	8	10	6	17	5	8	8	9	7	5	4	10	1	6	7	10	6	47	6	6	36	7	12	6	12	7	6	22	2	11	2	1	18	10	29	8	9	5	1	10	8	7	4	46	7	12	1	2	12	7	8	4	27
SIRPB1	8	6	16	3	12	7	3	5	8	30	10	16	13	10	11	11	8	4	11	17	15	8	5	7	7	2	11	5	11	1	11	12	8	2	43	10	3	22	4	6	2	13	12	13	20	2	9	6	3	18	14	42	6	8	9	3	8	10	5	3	41	11	11	1	4	6	9	10	6	23
DOCK4	6	8	16	5	18	6	11	5	9	25	7	11	25	12	8	13	12	7	17	8	16	6	20	13	9	8	11	1	10	2	9	9	13	14	30	2	5	15	8	1	13	11	10	12	19	1	5	3	2	21	13	29	6	9	7	1	11	10	6	6	25	7	12	2	7	13	8	11	15	27
MYO6	30	13	72	43	24	45	4	74	10	69	45	16	33	28	99	21	14	10	10	17	33	13	22	16	30	37	15	45	21	10	20	13	20	12	91	32	8	76	22	82	22	30	24	20	57	3	50	9	3	32	19	110	20	94	13	26	24	23	12	10	132	12	16	1	11	10	9	37	27	75
INPP5D	8	6	14	6	11	9	5	5	11	34	16	13	17	10	14	26	10	9	6	10	21	9	15	12	6	2	5	1	13	2	3	15	7	3	47	2	5	21	8	6	10	18	14	10	9	1	6	4	1	17	8	56	9	6	13	2	17	6	7	6	34	9	10	1	5	9	7	8	8	25
HCRT	8	4	17	7	12	6	3	10	14	34	16	11	15	14	9	19	8	10	19	16	33	18	15	15	10	8	12	1	6	6	5	19	12	7	79	5	7	32	16	10	20	18	18	17	19	3	10	7	3	26	23	65	10	11	16	3	14	19	8	7	54	10	11	1	9	8	7	13	7	33
SELENOV	5	5	14	3	14	9	9	8	6	40	9	9	21	9	6	18	4	3	10	14	20	3	12	7	7	9	6	1	6	1	6	9	8	6	48	6	2	32	5	6	11	10	15	12	21	1	8	9	3	16	13	61	5	17	6	1	9	9	3	7	38	7	11	1	8	4	6	13	10	35
STRN4	14	8	43	17	17	23	12	11	12	57	21	11	27	19	16	20	15	6	14	20	29	10	13	11	22	18	21	9	13	6	15	13	11	11	77	12	7	34	17	26	17	20	14	18	38	1	11	8	3	31	27	64	15	23	11	1	20	23	9	8	70	12	14	1	7	14	18	13	11	48
MED27	11	3	21	10	12	7	12	14	14	44	13	14	8	11	7	14	13	8	13	16	25	10	12	9	8	6	7	3	9	7	8	11	12	6	66	4	5	35	8	11	5	17	20	9	22	2	11	7	3	25	11	59	10	11	7	1	19	16	10	8	48	9	15	1	9	9	6	19	15	40
AS3MT	13	7	29	7	15	7	7	12	17	36	15	10	19	19	9	19	10	8	7	8	24	10	13	13	5	12	7	3	6	6	12	15	9	13	46	7	8	27	9	11	18	14	15	17	27	2	8	12	3	21	14	55	13	10	3	3	12	18	5	2	52	10	6	1	2	8	13	6	8	56
SHISA8	11	1	19	10	12	14	3	13	11	31	13	13	10	6	9	23	8	7	13	9	25	6	12	7	3	6	5	3	11	8	5	11	3	6	47	3	2	19	6	14	11	16	7	11	12	1	8	4	2	19	14	57	4	6	5	1	8	9	5	5	39	5	10	2	5	7	5	14	7	35
PNMA1	8	5	22	5	11	12	11	13	5	28	19	16	12	9	14	19	13	12	10	11	28	6	10	6	7	13	9	4	13	4	11	14	15	9	57	7	6	49	9	14	15	11	14	12	25	3	15	2	2	23	17	48	11	11	9	1	9	18	8	7	37	12	14	1	3	8	6	17	19	33
NAA20	23	6	59	20	19	20	15	14	16	46	23	17	18	21	34	18	22	9	13	14	23	3	14	9	25	34	10	19	7	5	10	21	10	15	59	33	3	49	8	37	13	20	15	11	41	1	17	4	1	14	16	60	11	35	14	2	11	19	5	4	88	8	17	1	6	20	12	23	27	65
BRAT1	7	8	18	7	12	7	8	7	14	41	9	20	22	18	5	20	5	10	3	17	24	7	11	10	11	6	16	10	11	5	6	11	13	7	58	4	4	29	11	18	8	15	13	20	32	2	14	2	1	17	12	61	6	18	10	3	16	12	7	2	41	11	8	1	3	9	7	16	6	44
FASTKD5	3	3	25	8	12	8	8	8	13	47	12	12	12	9	12	22	4	6	9	18	20	9	4	8	13	11	10	5	13	6	11	3	7	7	57	7	2	31	9	14	12	10	12	11	17	1	9	4	1	17	12	59	4	14	7	2	16	12	2	9	51	11	12	1	5	4	5	17	9	45
LCN15	9	3	12	2	4	6	6	5	9	23	8	5	6	5	2	11	4	5	6	10	13	1	4	4	5	3	5	5	10	4	6	4	7	6	33	3	7	24	6	10	4	10	9	7	9	2	5	7	1	13	14	42	3	4	4	1	10	5	2	6	36	3	5	1	5	9	6	8	1	21
OR4C45	4	2	18	2	5	7	9	13	7	24	10	7	15	7	10	13	10	7	7	11	19	5	13	6	8	3	5	4	8	2	4	6	9	7	38	1	1	31	3	11	8	13	10	11	15	1	3	1	2	13	7	50	7	8	5	1	7	8	2	2	39	8	10	1	3	6	2	12	7	29
FOXF2	5	2	8	1	13	14	4	4	11	39	9	9	9	10	10	10	9	5	9	8	14	10	7	12	5	5	9	1	12	6	6	6	6	7	55	6	3	32	7	7	13	12	7	9	13	1	8	1	1	13	10	43	8	10	7	1	7	14	8	3	33	4	7	1	2	8	7	14	3	25
ATXN3	21	6	26	7	13	10	13	15	10	43	8	12	22	23	18	17	8	12	13	19	30	7	14	12	10	8	6	5	9	6	11	12	16	7	57	10	8	25	11	15	12	16	18	13	36	1	8	5	3	24	10	67	14	18	16	5	12	16	3	8	65	14	21	1	6	14	5	13	14	50
PLXNA2	15	5	49	11	21	23	18	20	14	62	31	17	40	26	21	35	19	7	16	32	54	17	18	16	23	16	13	4	13	12	19	15	22	17	104	8	14	40	17	22	25	21	36	19	32	1	16	5	1	46	26	101	18	26	18	6	25	28	14	11	92	16	18	6	10	10	11	20	26	79
EEF1A2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RAB40B	13	4	29	10	9	8	9	17	5	39	21	15	9	19	36	14	5	2	16	13	24	10	13	6	16	16	12	13	11	10	9	11	5	8	59	10	8	32	9	31	7	13	14	9	37	1	11	6	4	19	19	46	10	32	15	3	7	23	4	11	56	9	10	1	5	9	2	21	11	44
SP140L	10	4	21	10	20	10	15	10	20	63	12	13	17	16	21	19	10	6	14	19	40	6	10	19	12	6	14	6	29	3	8	24	12	7	85	10	9	40	18	10	16	25	27	18	25	3	15	5	1	24	19	92	10	22	8	2	24	20	3	8	59	4	15	1	5	7	8	12	16	62
MKNK2	20	17	48	32	24	96	36	51	36	68	28	18	43	41	56	33	34	15	25	24	45	23	29	19	22	29	23	36	29	11	19	26	29	20	82	24	7	56	19	42	29	31	24	28	68	5	90	12	6	71	28	110	29	36	29	12	27	45	20	25	110	12	22	1	11	38	15	32	44	92
H3C10	3	7	7	10	6	8	8	7	10	42	12	9	8	8	9	11	5	8	9	15	22	10	13	13	9	16	14	2	10	3	3	12	2	9	45	8	1	21	12	10	18	9	18	6	16	2	4	4	1	19	9	64	7	16	3	3	14	9	6	4	48	1	7	1	8	10	5	13	10	32
EXOSC8	14	3	24	17	25	14	9	15	16	39	16	9	23	17	26	17	10	7	12	8	23	19	18	18	13	14	17	7	13	3	8	15	18	7	61	16	6	42	14	35	13	12	21	7	34	3	14	9	1	33	16	65	9	20	9	3	15	14	10	6	62	19	12	1	13	11	12	19	11	41
PAX3	10	4	16	6	8	9	4	8	9	35	22	9	8	6	11	9	4	4	7	6	10	7	9	9	4	8	6	2	2	5	4	9	6	9	60	6	2	14	11	11	12	11	12	13	8	1	7	6	1	24	8	37	7	11	7	2	8	7	7	4	37	5	5	1	4	10	5	13	7	31
CCDC192	7	2	20	5	14	10	6	10	10	28	12	5	14	4	9	13	5	7	8	10	15	4	15	12	10	6	5	1	19	1	7	14	12	12	52	5	5	25	12	10	8	14	18	9	17	1	6	3	3	16	5	38	4	14	3	3	10	14	5	3	37	8	11	1	1	12	4	11	8	36
ABCA9	7	4	13	6	12	7	6	8	13	45	12	4	13	13	11	16	8	6	6	9	16	7	9	8	7	2	4	2	8	5	4	7	1	10	50	3	9	25	9	15	10	8	10	13	21	1	10	6	1	20	16	57	6	7	7	1	16	12	4	6	48	8	10	1	3	8	4	9	13	39
PARPBP	1	1	13	10	9	5	1	7	9	26	12	5	10	11	7	10	4	6	11	9	13	8	10	6	7	10	5	1	13	2	3	8	9	8	42	2	3	21	9	9	6	11	10	14	13	2	10	1	1	9	8	37	4	9	3	1	9	12	7	2	51	9	12	1	3	6	7	9	6	32
KLHL12	11	7	33	13	13	15	11	9	12	49	13	17	18	15	15	16	17	9	12	7	24	13	10	10	10	21	16	8	8	7	9	8	16	8	49	12	3	41	10	22	12	16	19	6	27	2	11	8	2	18	14	57	10	18	13	1	15	17	11	7	76	10	10	1	8	12	13	16	10	46
KCTD10	10	5	26	9	7	15	10	8	11	38	14	8	25	21	12	19	25	10	16	8	17	14	15	11	9	17	22	8	12	7	6	5	11	10	44	9	4	28	9	22	15	9	10	26	20	2	12	6	2	25	11	69	15	15	8	3	23	16	11	7	54	6	14	2	7	14	6	14	19	48
DNAJC10	12	8	20	9	10	11	14	6	7	21	14	4	13	12	10	17	13	11	16	13	19	10	11	5	9	14	8	7	10	8	3	7	14	8	26	8	4	22	9	12	9	10	15	7	19	2	7	3	1	14	14	40	7	10	10	5	15	19	4	6	43	10	6	1	6	19	6	17	13	21
ARMCX3	29	23	36	23	27	48	34	25	20	40	28	18	47	32	32	33	44	20	37	23	31	25	29	9	22	34	30	14	20	10	29	14	21	22	56	25	13	29	36	41	22	19	26	35	46	8	30	8	6	36	51	58	33	28	33	8	29	22	15	15	53	31	26	1	22	37	19	32	56	49
SH3RF3	4	4	16	3	9	7	7	9	8	26	14	12	16	15	13	11	6	5	8	5	21	11	9	9	10	6	8	4	9	6	9	5	7	6	41	5	3	23	9	5	14	8	18	6	17	3	3	2	1	16	13	52	5	11	8	1	5	8	7	8	52	5	7	1	3	9	4	9	15	41
NARF	9	5	30	7	15	11	8	9	17	56	12	12	20	13	20	20	10	13	14	15	34	15	14	14	11	14	14	5	12	5	7	12	10	8	55	14	10	23	12	14	14	15	18	10	31	1	13	6	2	24	22	97	12	20	20	3	21	22	10	12	55	7	14	2	8	16	8	14	18	31
HRNR	11	4	14	5	10	4	12	8	10	29	10	11	18	12	7	10	8	3	11	8	24	6	16	5	14	4	6	3	8	1	3	3	6	5	51	5	5	33	6	10	9	15	21	10	12	1	6	6	1	18	9	54	11	18	5	5	5	13	4	9	49	4	8	2	11	18	7	10	5	31
PRND	6	4	16	8	7	8	5	5	12	32	9	8	11	9	8	11	8	6	6	13	14	9	16	4	6	8	6	5	17	1	4	9	6	3	36	4	2	20	7	12	17	10	13	6	18	3	12	5	1	28	11	44	4	12	3	2	15	8	3	5	39	3	11	1	4	7	4	11	6	41
ZNF517	8	3	15	7	7	7	3	9	7	17	14	3	15	13	6	17	2	4	12	3	11	6	6	4	7	5	9	2	3	2	3	12	7	6	55	4	2	24	7	9	7	6	9	13	8	1	8	3	1	19	6	42	5	9	5	1	9	9	7	1	38	6	5	1	6	7	2	8	5	31
ZNF215	5	2	26	3	7	10	7	6	12	31	4	10	10	11	8	14	8	5	11	7	21	8	7	6	7	8	7	2	11	1	4	8	5	8	47	4	4	32	8	13	7	8	7	11	11	1	6	3	1	20	9	45	9	13	9	6	12	4	3	4	38	9	10	1	5	9	6	12	8	36
ACAP2	17	4	21	19	14	15	8	9	7	31	11	11	22	28	23	17	13	7	14	14	34	18	16	16	11	13	26	9	19	2	8	16	13	16	43	12	3	30	8	33	16	15	21	12	26	1	7	15	1	29	22	64	14	22	11	1	20	26	11	8	50	16	13	1	8	23	10	8	14	38
LGALS3	33	1	42	42	17	134	13	58	12	43	25	7	15	11	128	19	11	10	12	11	33	17	5	11	23	53	11	56	18	3	5	22	11	11	54	31	5	77	8	54	18	24	10	11	32	3	85	4	2	32	22	86	16	130	14	49	23	17	15	11	98	8	17	1	5	14	7	51	15	67
LSP1	11	9	11	10	24	5	8	5	17	45	11	16	19	10	4	28	4	5	8	23	27	9	9	15	9	6	8	3	16	3	8	7	6	8	58	7	10	31	10	12	19	17	21	14	12	1	7	9	4	24	12	98	5	16	7	3	21	18	10	3	60	7	18	3	3	10	3	8	19	35
CTSL	221	12	302	26	36	35	31	13	16	75	31	36	45	36	20	50	32	13	21	28	76	23	34	28	181	31	20	16	34	27	24	17	24	23	101	23	24	74	9	57	36	46	37	33	64	7	23	15	12	33	17	88	28	40	19	12	18	36	21	8	231	18	30	1	12	36	18	33	32	57
WASHC5	12	4	21	9	18	16	7	8	10	30	9	8	13	14	14	13	22	3	11	14	15	15	16	11	14	15	16	5	10	3	13	8	9	13	55	13	6	17	11	19	14	13	11	13	31	1	13	6	2	13	11	49	8	16	11	4	13	10	9	7	49	8	12	1	8	17	9	16	16	38
NOVA2	6	3	14	7	12	13	8	9	11	45	8	14	16	12	8	20	17	7	13	15	40	8	15	9	3	2	9	5	19	6	9	13	13	11	72	6	4	29	9	8	9	21	12	12	14	1	4	7	1	20	7	59	10	13	8	1	13	24	6	5	37	6	9	1	11	10	8	9	11	31
SPANXN5	5	2	17	4	6	7	3	8	14	21	7	13	12	13	7	7	4	6	8	8	10	4	13	10	11	8	8	2	8	1	10	9	6	4	49	1	2	21	6	6	4	6	9	6	21	1	5	3	1	18	14	38	4	7	7	3	9	7	4	5	37	8	6	1	3	4	8	8	3	30
CSNKA2IP	5	5	14	2	13	9	10	4	10	35	10	7	13	10	2	10	10	7	9	8	15	11	10	4	7	3	9	3	18	4	4	6	6	8	50	3	2	32	11	8	8	16	15	11	12	1	4	7	1	9	5	45	16	13	8	2	9	9	4	3	37	8	9	1	6	13	1	7	10	24
CENPT	15	7	31	19	25	14	11	14	20	82	17	11	28	20	19	33	12	9	11	16	41	13	25	19	19	13	16	7	21	4	7	19	20	13	74	11	7	57	20	37	19	22	30	16	34	2	11	14	6	38	21	105	20	30	13	9	20	28	11	5	74	8	14	1	5	16	14	26	15	49
ANKRD45	6	3	17	12	8	7	8	11	7	46	16	6	11	12	8	21	8	4	16	13	23	4	11	10	5	6	13	5	10	2	6	10	1	8	58	7	2	29	7	20	14	11	16	6	23	1	9	4	1	28	9	40	10	11	11	2	8	16	7	6	46	9	6	1	8	5	4	13	7	44
ERVFRD-1	4	3	19	5	17	6	7	10	13	39	7	8	14	9	7	13	7	6	13	3	18	4	16	6	5	5	6	3	10	5	8	20	17	11	60	4	8	32	10	5	8	17	21	12	11	2	10	5	2	15	5	49	12	8	8	2	12	8	6	7	43	8	10	1	8	9	5	11	10	38
BDH2	24	15	118	53	24	37	21	32	15	116	50	28	45	38	52	38	17	17	39	28	50	28	37	17	29	41	32	17	25	7	20	23	29	28	152	21	7	97	27	80	28	22	28	45	207	7	23	12	6	33	47	159	24	60	19	10	30	31	7	6	177	24	32	3	23	15	19	45	28	79
SLC25A35	14	3	24	29	9	10	5	9	21	39	15	13	17	13	9	19	9	3	5	11	22	9	14	5	14	20	9	10	18	2	14	12	10	9	61	16	7	57	14	32	11	15	14	13	25	4	13	8	7	28	8	63	9	20	3	4	17	14	5	6	55	14	17	1	10	10	8	8	11	40
FBXO7	22	8	47	23	28	25	17	18	11	51	19	24	29	46	27	30	19	15	27	22	44	29	25	15	26	21	27	17	21	9	19	14	31	14	90	16	11	59	28	38	22	25	38	23	55	5	18	12	3	34	43	91	29	28	22	7	29	36	17	9	88	23	21	1	14	23	19	28	19	68
SLC31A2	8	7	25	6	22	10	14	5	26	64	15	18	18	15	20	24	14	5	16	16	36	9	14	14	10	12	15	6	21	8	6	12	13	10	73	9	11	37	14	17	22	23	19	19	24	7	8	6	1	29	15	60	10	15	13	2	18	13	8	15	74	17	13	3	7	17	6	15	19	56
HDHD3	9	3	28	10	13	14	8	16	14	50	19	10	12	15	14	10	9	10	12	9	24	9	11	15	18	14	11	4	12	2	9	10	17	8	60	10	3	32	8	22	12	7	11	15	41	1	11	11	2	28	12	69	13	18	8	3	6	9	12	5	83	12	10	1	3	5	5	11	12	39
TRIM41	12	5	30	18	12	13	7	8	8	39	18	13	12	17	14	16	10	9	14	14	26	13	19	14	11	12	10	8	18	5	9	13	13	9	62	7	6	38	10	23	19	20	22	14	36	6	10	5	2	28	13	73	9	23	12	4	11	17	4	7	58	13	9	4	5	11	6	24	12	35
ALDH6A1	51	5	141	42	7	11	13	15	14	42	43	9	29	26	24	17	18	6	20	14	19	14	19	14	72	28	18	5	9	5	7	9	24	7	52	24	8	33	20	35	9	13	12	8	187	1	26	5	4	25	21	47	15	28	17	4	20	12	6	7	105	10	12	1	12	13	11	15	18	57
HNRNPA2B1	148	107	481	224	154	254	184	137	104	247	154	118	233	228	334	173	205	72	161	138	218	127	183	114	134	326	188	123	125	94	120	102	149	135	291	273	55	278	157	361	136	138	149	137	460	17	325	44	25	229	232	431	173	377	196	80	122	183	59	101	662	102	139	8	108	220	114	191	280	326
STK3	14	3	37	8	9	16	18	15	13	37	18	12	15	13	27	21	15	11	9	13	24	7	12	8	10	14	11	6	10	4	9	11	9	7	45	7	5	30	11	25	10	16	17	10	22	1	16	5	2	20	12	54	10	23	11	2	4	12	2	8	58	9	5	1	5	19	9	14	15	40
GDI1	10	11	21	19	20	32	16	8	13	32	15	20	35	22	18	20	19	10	21	20	41	19	25	12	15	11	9	12	11	9	15	13	13	17	42	17	7	34	19	17	17	16	24	25	35	2	27	10	3	35	12	62	24	21	22	7	16	23	11	14	66	12	11	1	15	17	7	8	24	47
MEIKIN	4	4	10	5	4	7	4	5	8	21	3	3	7	11	10	7	4	5	10	7	11	3	5	6	7	3	3	3	12	3	6	4	3	4	43	4	2	22	6	7	7	6	11	14	14	1	9	1	2	15	4	37	2	8	4	4	11	6	2	3	31	2	6	1	1	6	3	12	11	34
HSD3B1	6	5	12	11	13	7	14	10	18	56	17	8	20	10	8	32	10	5	11	12	29	12	5	7	7	7	10	4	11	2	6	14	8	8	97	8	6	51	13	7	13	18	18	11	25	1	9	5	1	22	11	85	9	12	5	3	17	17	3	9	51	7	14	1	2	12	5	13	9	30
SEC24D	19	7	26	4	15	10	11	4	7	29	22	9	20	6	13	20	15	4	13	11	30	10	11	12	21	7	12	6	13	6	10	15	10	12	49	8	7	30	10	13	18	15	7	14	17	5	9	9	3	33	20	47	9	7	11	4	11	20	9	8	41	10	9	1	8	12	10	14	14	46
SFXN4	9	1	22	14	7	25	4	7	10	39	16	7	11	16	12	11	10	4	9	13	18	8	11	7	9	15	8	5	7	2	8	7	8	8	57	12	6	33	10	22	9	10	14	8	27	1	7	5	1	19	16	44	11	19	8	6	10	10	4	6	43	5	10	2	4	6	4	10	12	45
TRMT9B	8	2	24	6	10	6	4	9	9	45	11	11	17	10	17	20	11	5	6	10	18	10	10	6	7	10	13	4	10	1	7	5	13	5	38	15	6	43	7	12	11	11	15	13	34	1	10	5	1	18	10	56	4	29	11	5	10	19	3	7	39	10	8	1	4	10	9	16	11	46
FAM166C	4	3	14	9	9	4	7	9	11	22	8	6	8	13	8	13	7	4	8	5	14	5	13	2	9	5	2	1	11	1	6	4	5	6	41	4	4	16	3	6	10	8	7	8	21	2	6	1	1	17	7	45	4	9	6	1	11	8	4	7	47	7	4	1	2	5	5	6	11	34
ZNF335	14	9	19	14	18	8	9	10	14	49	11	11	17	11	12	16	4	5	11	17	31	10	17	12	10	7	13	8	14	6	5	15	8	8	64	8	6	48	14	19	15	11	21	13	18	1	12	8	6	24	20	84	17	14	20	4	20	24	10	7	55	15	19	1	12	6	8	8	7	38
