RTS_ID	TargetName	ProbeID	Negative
RTS0021364	IFNA2	3860	FALSE
RTS0021365	C8G	36035	FALSE
RTS0021366	ORM1	36036	FALSE
RTS0021367	ORM2	36037	FALSE
RTS0021368	CD59	36038	FALSE
RTS0021369	IGF2	36039	FALSE
RTS0021370	HPX	36040	FALSE
RTS0021372	NCAM1	36041	FALSE
RTS0021373	CD4	36042	FALSE
RTS0021374	SLC11A2	36043	FALSE
RTS0021375	IGF1	36044	FALSE
RTS0021376	IFNG	36045	FALSE
RTS0021377	NOS1	36046	FALSE
RTS0021380	SERPINA5	36047	FALSE
RTS0021381	NOS2	36048	FALSE
RTS0021382	LTBP1	36049	FALSE
RTS0021383	IL10RB	36050	FALSE
RTS0021384	IFNAR1	36051	FALSE
RTS0021385	NCF4	36052	FALSE
RTS0021386	ITGAM	36053	FALSE
RTS0021387	CXCR1	36054	FALSE
RTS0021388	RFX2	36055	FALSE
RTS0021389	SOD2	36056	FALSE
RTS0021390	GSR	36057	FALSE
RTS0021391	VTN	36058	FALSE
RTS0021392	FASLG	36059	FALSE
RTS0021393	IL13RA2	36060	FALSE
RTS0021396	TGFB1	36061	FALSE
RTS0021397	RPL9	36062	FALSE
RTS0021398	NAT1	36063	FALSE
RTS0021399	ABAT	36064	FALSE
RTS0021400	ACHE	36065	FALSE
RTS0021401	ACY1	36066	FALSE
RTS0021402	ADH1A	36067	FALSE
RTS0021403	ADH4	36068	FALSE
RTS0021404	ADH5	36069	FALSE
RTS0021405	ADH6	36070	FALSE
RTS0021406	ADH7	36071	FALSE
RTS0021407	ADORA2A	36072	FALSE
RTS0021408	ADORA2B	36073	FALSE
RTS0021409	ADORA3	36074	FALSE
RTS0021410	ADRA1D	36075	FALSE
RTS0021411	ADRA1B	36076	FALSE
RTS0021412	ADRA1A	36077	FALSE
RTS0021413	ADRA2A	36078	FALSE
RTS0021415	ADRA2C	36079	FALSE
RTS0021416	ADRB1	36080	FALSE
RTS0021417	AGTR1	36081	FALSE
